set attivita:= 1 2 3 4 5 6;

param extrabudget:= 1000;

param b:= 1 4 
          2 3 
          3 3 
          4 3 
          5 3 
          6 4;
          
param D:= 1 5 
          2 5
          3 7
          4 5
          5 6
          6 5;		
		  
param a:= 1 1
          2 1 
          3 3 
          4 1 
          5 2 
          6 1;
          
#param P1 = 1;

#param P2 = 2;

param A = 1;

param p: 1 2 3 4 5 6 :=  
       1 0 0 0 0 0 0  
       2 1 0 0 0 0 0
       3 1 0 0 0 0 0
       4 0 1 1 0 0 0
       5 0 1 0 0 0 0
       6 0 0 0 1 1 0;
       
